cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,AZ,4,2017,Watermelons,48,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Onions,49,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Cucumbers,50,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Chick Peas,51,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Lentils,52,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Peas,53,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Tomatoes,54,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Caneberries,55,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Hops,56,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Herbs,57,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Clover/Wildflowers,58,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Sod/Grass Seed,59,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Switchgrass,60,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Fallow/Idle Cropland,61,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Pasture/Grass,62,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Forest,63,Non_crop,NA,0,1,1
IMIDACLOPRID,AZ,4,2017,Shrubland,64,Non_crop,NA,0,1,1
IMIDACLOPRID,AZ,4,2017,Barren,65,Non_crop,NA,0,1,1
IMIDACLOPRID,AZ,4,2017,Cherries,66,Orchards_and_grapes,0.05496819,0,0,3
IMIDACLOPRID,AZ,4,2017,Peaches,67,Orchards_and_grapes,0.05496819,0,0,3
IMIDACLOPRID,AZ,4,2017,Apples,68,Orchards_and_grapes,0.05496819,0,0,3
